               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.045963,            0.013487,             0.01078,             0.98281,                   1,               0.995,             0.56996,            0.023654,             0.00582,           0.0037443,           0.0082972,           0.0082972,           0.0082972
                  88,            0.043919,            0.013971,           0.0098698,             0.98281,                   1,               0.995,             0.56996,            0.023654,             0.00582,           0.0037443,           0.0082774,           0.0082774,           0.0082774
                  89,            0.038163,            0.013792,            0.011024,             0.89311,             0.92653,             0.96816,              0.5573,            0.022229,           0.0059333,           0.0036539,           0.0082576,           0.0082576,           0.0082576
                  90,            0.039043,             0.01314,            0.008304,             0.98596,                   1,               0.995,             0.60347,            0.022016,           0.0057371,           0.0036245,           0.0082378,           0.0082378,           0.0082378
                  91,            0.036124,             0.01282,            0.009655,             0.89544,             0.84474,             0.91836,              0.4192,            0.033931,           0.0059495,           0.0035709,            0.008218,            0.008218,            0.008218
                  92,            0.047276,            0.012377,           0.0084881,             0.89544,             0.84474,             0.91836,              0.4192,            0.033931,           0.0059495,           0.0035709,           0.0081982,           0.0081982,           0.0081982
                  93,            0.045436,             0.01312,           0.0085766,             0.81074,             0.91145,             0.91803,             0.43495,            0.027798,            0.005864,           0.0035347,           0.0081784,           0.0081784,           0.0081784
                  94,            0.042471,            0.011346,            0.011505,             0.98443,             0.86842,             0.94806,             0.52528,            0.032732,           0.0056366,           0.0032925,           0.0081586,           0.0081586,           0.0081586
                  95,             0.04428,            0.012382,            0.011144,             0.89886,               0.925,             0.93982,             0.35748,            0.029159,           0.0054765,           0.0033932,           0.0081388,           0.0081388,           0.0081388
                  96,            0.039826,            0.013281,           0.0083426,             0.89886,               0.925,             0.93982,             0.35748,            0.029159,           0.0054765,           0.0033932,            0.008119,            0.008119,            0.008119
                  97,            0.039398,            0.012084,           0.0063769,             0.99691,             0.94483,               0.995,             0.51268,            0.027147,           0.0055311,           0.0033486,           0.0080992,           0.0080992,           0.0080992
                  98,            0.039544,            0.013467,            0.010169,             0.98235,                   1,               0.995,             0.56789,            0.020549,           0.0056174,           0.0034035,           0.0080794,           0.0080794,           0.0080794
                  99,            0.038808,            0.011521,           0.0076854,             0.84442,             0.96438,              0.9611,             0.45403,            0.030369,           0.0055573,           0.0032948,           0.0080596,           0.0080596,           0.0080596
                 100,            0.046458,            0.011948,           0.0087417,             0.84442,             0.96438,              0.9611,             0.45403,            0.030369,           0.0055573,           0.0032948,           0.0080398,           0.0080398,           0.0080398
                 101,            0.042833,            0.012674,            0.012657,             0.99014,                   1,               0.995,             0.64546,            0.022974,           0.0055963,           0.0032453,             0.00802,             0.00802,             0.00802
                 102,              0.0437,            0.013442,            0.010191,             0.74979,               0.975,             0.93884,             0.45597,            0.032358,           0.0059658,           0.0032034,           0.0080002,           0.0080002,           0.0080002
                 103,            0.045057,            0.010974,           0.0082991,             0.99325,                   1,               0.995,             0.60813,            0.018885,           0.0057489,           0.0031241,           0.0079804,           0.0079804,           0.0079804
                 104,            0.038142,            0.012258,           0.0073123,             0.99325,                   1,               0.995,             0.60813,            0.018885,           0.0057489,           0.0031241,           0.0079606,           0.0079606,           0.0079606
                 105,            0.042505,            0.012749,            0.010164,             0.99632,             0.98808,               0.995,             0.62946,            0.020082,           0.0058593,            0.003109,           0.0079408,           0.0079408,           0.0079408
                 106,             0.03595,            0.011017,            0.011579,             0.99177,                   1,               0.995,              0.5682,            0.020213,           0.0058587,           0.0035248,            0.007921,            0.007921,            0.007921
                 107,            0.038332,            0.011678,            0.015644,             0.99245,                   1,               0.995,             0.58708,            0.019996,           0.0056467,           0.0031229,           0.0079012,           0.0079012,           0.0079012
                 108,            0.042123,            0.011479,           0.0080378,             0.99245,                   1,               0.995,             0.58708,            0.019996,           0.0056467,           0.0031229,           0.0078814,           0.0078814,           0.0078814
                 109,            0.029693,           0.0096443,           0.0089872,             0.99195,                   1,               0.995,             0.57478,            0.017249,           0.0055731,           0.0032079,           0.0078616,           0.0078616,           0.0078616
                 110,             0.03576,            0.012988,           0.0078516,             0.79979,               0.975,             0.97181,             0.45411,            0.027176,           0.0057568,           0.0032899,           0.0078418,           0.0078418,           0.0078418
                 111,            0.044867,            0.012755,             0.00908,             0.99061,                   1,               0.995,             0.63406,            0.020571,           0.0055337,           0.0035499,            0.007822,            0.007822,            0.007822
                 112,            0.042801,            0.013112,            0.011001,             0.99061,                   1,               0.995,             0.63406,            0.020571,           0.0055337,           0.0035499,           0.0078022,           0.0078022,           0.0078022
                 113,            0.036027,            0.012243,           0.0094066,             0.98638,                   1,               0.995,              0.6077,            0.017647,           0.0057179,           0.0037947,           0.0077824,           0.0077824,           0.0077824
                 114,            0.034986,            0.011415,           0.0089025,             0.98738,             0.99891,               0.995,             0.56149,            0.021994,           0.0058584,           0.0037796,           0.0077626,           0.0077626,           0.0077626
                 115,            0.038677,            0.013628,           0.0076978,             0.98427,              0.9411,             0.98932,             0.48855,            0.023877,           0.0057141,           0.0035592,           0.0077428,           0.0077428,           0.0077428
                 116,            0.044246,            0.012093,           0.0087276,             0.98427,              0.9411,             0.98932,             0.48855,            0.023877,           0.0057141,           0.0035592,            0.007723,            0.007723,            0.007723
                 117,            0.039558,            0.011404,           0.0097735,             0.98892,             0.99762,               0.995,             0.51247,             0.01753,           0.0055632,           0.0036071,           0.0077032,           0.0077032,           0.0077032
                 118,             0.03641,            0.011011,           0.0059143,             0.75271,             0.99702,             0.80982,             0.48456,            0.020859,           0.0054156,           0.0036645,           0.0076834,           0.0076834,           0.0076834
                 119,            0.036067,            0.012336,           0.0076277,             0.77304,             0.99367,             0.92604,             0.52453,            0.025457,           0.0054098,           0.0038491,           0.0076636,           0.0076636,           0.0076636
                 120,            0.040414,            0.013882,           0.0095083,             0.77304,             0.99367,             0.92604,             0.52453,            0.025457,           0.0054098,           0.0038491,           0.0076438,           0.0076438,           0.0076438
                 121,            0.037153,           0.0098783,            0.006564,             0.82326,             0.99955,             0.96573,             0.59623,            0.020758,           0.0053293,           0.0036946,            0.007624,            0.007624,            0.007624
                 122,            0.034339,            0.010974,           0.0080787,             0.73836,             0.99552,             0.88955,             0.49119,             0.02324,           0.0054736,            0.003887,           0.0076042,           0.0076042,           0.0076042
                 123,            0.035844,            0.012605,            0.013195,             0.85087,                   1,             0.93323,             0.59545,            0.021828,           0.0053589,           0.0030569,           0.0075844,           0.0075844,           0.0075844
                 124,            0.038736,            0.011192,            0.007811,             0.85087,                   1,             0.93323,             0.59545,            0.021828,           0.0053589,           0.0030569,           0.0075646,           0.0075646,           0.0075646
                 125,            0.033636,            0.011989,           0.0092865,              0.9837,                   1,               0.995,             0.65223,            0.019264,           0.0053804,           0.0031958,           0.0075448,           0.0075448,           0.0075448
                 126,             0.03343,            0.013665,           0.0061525,             0.98672,                   1,               0.995,              0.6111,            0.021194,           0.0053678,           0.0033855,            0.007525,            0.007525,            0.007525
                 127,            0.036692,            0.011463,            0.021915,             0.94668,             0.98746,             0.97893,             0.65743,             0.02013,           0.0053109,           0.0034426,           0.0075052,           0.0075052,           0.0075052
                 128,            0.037511,            0.011975,            0.009176,             0.94668,             0.98746,             0.97893,             0.65743,             0.02013,           0.0053109,           0.0034426,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034223,            0.012557,           0.0083463,             0.98279,                   1,               0.995,             0.68764,            0.017197,           0.0053716,           0.0035928,           0.0074656,           0.0074656,           0.0074656
                 130,            0.031053,            0.011371,           0.0062586,              0.7529,                   1,               0.995,             0.64366,            0.018079,           0.0054805,           0.0037209,           0.0074458,           0.0074458,           0.0074458
                 131,            0.034902,            0.010329,           0.0085939,             0.98125,              0.9911,               0.995,             0.48422,            0.019018,           0.0056603,           0.0039934,            0.007426,            0.007426,            0.007426
                 132,            0.035754,            0.010977,           0.0084078,             0.98125,              0.9911,               0.995,             0.48422,            0.019018,           0.0056603,           0.0039934,           0.0074062,           0.0074062,           0.0074062
                 133,            0.034065,            0.010683,            0.010368,             0.92972,             0.97404,               0.995,             0.59368,            0.017013,           0.0057612,           0.0040987,           0.0073864,           0.0073864,           0.0073864
                 134,            0.034691,            0.012155,           0.0067614,              0.7423,             0.98448,             0.91076,             0.54542,            0.021516,           0.0057279,           0.0039202,           0.0073666,           0.0073666,           0.0073666
                 135,            0.037009,            0.011325,           0.0099269,             0.57767,             0.91728,             0.73083,             0.47784,            0.023559,           0.0056411,           0.0039008,           0.0073468,           0.0073468,           0.0073468
                 136,            0.033925,            0.010134,           0.0068488,             0.57767,             0.91728,             0.73083,             0.47784,            0.023559,           0.0056411,           0.0039008,            0.007327,            0.007327,            0.007327
                 137,            0.037066,            0.012735,            0.010267,             0.74498,             0.93789,              0.8136,             0.50233,            0.021779,           0.0055202,           0.0035535,           0.0073072,           0.0073072,           0.0073072
                 138,            0.038621,            0.012045,           0.0062864,             0.80441,                   1,             0.94969,             0.58437,             0.02011,           0.0052696,           0.0031954,           0.0072874,           0.0072874,           0.0072874
                 139,            0.041809,            0.012556,           0.0069535,             0.85589,             0.98392,             0.94299,             0.60359,            0.018801,           0.0052714,           0.0028305,           0.0072676,           0.0072676,           0.0072676
                 140,            0.031596,           0.0098082,           0.0066021,             0.85589,             0.98392,             0.94299,             0.60359,            0.018801,           0.0052714,           0.0028305,           0.0072478,           0.0072478,           0.0072478
